== J1: order 175560 built in 5.1s
  [J1] |G|=175560 degree=266 odd classes=10 involution classes=1 subgroup candidates=52 (largest 660)  setup 423.5s
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=7 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=7 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=7 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=15 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [13.9s]
    pair ord(x)=15 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [13.7s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [13.2s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [13.2s]
    pair ord(x)=15 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [9.3s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [9.4s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.3s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [9.3s]
    pair ord(x)=15 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [9.5s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [9.5s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [9.5s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [9.4s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [9.0s]
    pair ord(x)=15 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [13.2s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [13.7s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [14.0s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [14.0s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.5s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=15 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [15.3s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.3s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.1s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.2s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [10.4s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [9.9s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [9.8s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [9.7s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [9.1s]
    pair ord(x)=15 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [9.3s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [9.3s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [9.6s]
    pair ord(x)=15 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [9.6s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.4s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=15 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=15 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [11.0s]
    pair ord(x)=15 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [10.5s]
    pair ord(x)=15 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [10.3s]
    pair ord(x)=15 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [10.1s]
    pair ord(x)=15 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=7: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=11: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=11: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=15: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=5: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=6: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=6: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=15: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=5: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=15: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=15: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=15: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=7: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=11: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
